countries	country codes	item	item codes	element	element codes	2011	
Angola	7	Coffee, green	656	Production (tonnes)	5510	48533
Belize	23	Coffee, green	656	Production (tonnes)	5510	45
Benin	53	Coffee, green	656	Production (tonnes)	5510	0
Bolivia (Plurinational State of)	19	Coffee, green	656	Production (tonnes)	5510	33555
Brazil	21	Coffee, green	656	Production (tonnes)	5510	2700440
Burundi	29	Coffee, green	656	Production (tonnes)	5510	23856
Cabo Verde	35	Coffee, green	656	Production (tonnes)	5510	
Cambodia	115	Coffee, green	656	Production (tonnes)	5510	357
Cameroon	32	Coffee, green	656	Production (tonnes)	5510	70000
Central African Republic	37	Coffee, green	656	Production (tonnes)	5510	6000
China, mainland	41	Coffee, green	656	Production (tonnes)	5510	32460
China, Taiwan Province of	214	Coffee, green	656	Production (tonnes)	5510	0
Colombia	44	Coffee, green	656	Production (tonnes)	5510	468540
Comoros	45	Coffee, green	656	Production (tonnes)	5510	129
Congo	46	Coffee, green	656	Production (tonnes)	5510	2725
Cook Islands	47	Coffee, green	656	Production (tonnes)	5510	0
Costa Rica	48	Coffee, green	656	Production (tonnes)	5510	100083
C̫te d'Ivoire	107	Coffee, green	656	Production (tonnes)	5510	103000
Cuba	49	Coffee, green	656	Production (tonnes)	5510	10150
Democratic Republic of the Congo	250	Coffee, green	656	Production (tonnes)	5510	33371
Dominica	55	Coffee, green	656	Production (tonnes)	5510	225
Dominican Republic	56	Coffee, green	656	Production (tonnes)	5510	27296
Ecuador	58	Coffee, green	656	Production (tonnes)	5510	23829
El Salvador	60	Coffee, green	656	Production (tonnes)	5510	82095
Equatorial Guinea	61	Coffee, green	656	Production (tonnes)	5510	4400
Ethiopia	238	Coffee, green	656	Production (tonnes)	5510	370569
Fiji	66	Coffee, green	656	Production (tonnes)	5510	18
French Polynesia	70	Coffee, green	656	Production (tonnes)	5510	20
Gabon	74	Coffee, green	656	Production (tonnes)	5510	167
Ghana	81	Coffee, green	656	Production (tonnes)	5510	1250
Guadeloupe	87	Coffee, green	656	Production (tonnes)	5510	17
Guatemala	89	Coffee, green	656	Production (tonnes)	5510	242839
Guinea	90	Coffee, green	656	Production (tonnes)	5510	29000
Guyana	91	Coffee, green	656	Production (tonnes)	5510	168
Haiti	93	Coffee, green	656	Production (tonnes)	5510	24922
Honduras	95	Coffee, green	656	Production (tonnes)	5510	282361
India	100	Coffee, green	656	Production (tonnes)	5510	302000
Indonesia	101	Coffee, green	656	Production (tonnes)	5510	634000
Jamaica	109	Coffee, green	656	Production (tonnes)	5510	8099
Kenya	114	Coffee, green	656	Production (tonnes)	5510	36260
Lao People's Democratic Republic	120	Coffee, green	656	Production (tonnes)	5510	52010
Liberia	123	Coffee, green	656	Production (tonnes)	5510	652
Madagascar	129	Coffee, green	656	Production (tonnes)	5510	52813
Malawi	130	Coffee, green	656	Production (tonnes)	5510	4015
Malaysia	131	Coffee, green	656	Production (tonnes)	5510	16478
Martinique	135	Coffee, green	656	Production (tonnes)	5510	22
Mauritius	137	Coffee, green	656	Production (tonnes)	5510	
Mexico	138	Coffee, green	656	Production (tonnes)	5510	237056
Mozambique	144	Coffee, green	656	Production (tonnes)	5510	800
Myanmar	28	Coffee, green	656	Production (tonnes)	5510	7714
Nepal	149	Coffee, green	656	Production (tonnes)	5510	402
New Caledonia	153	Coffee, green	656	Production (tonnes)	5510	21
Nicaragua	157	Coffee, green	656	Production (tonnes)	5510	103664
Nigeria	159	Coffee, green	656	Production (tonnes)	5510	2600
Panama	166	Coffee, green	656	Production (tonnes)	5510	13079
Papua New Guinea	168	Coffee, green	656	Production (tonnes)	5510	84870
Paraguay	169	Coffee, green	656	Production (tonnes)	5510	370
Peru	170	Coffee, green	656	Production (tonnes)	5510	331547
Philippines	171	Coffee, green	656	Production (tonnes)	5510	88526
Puerto Rico	177	Coffee, green	656	Production (tonnes)	5510	4486
Rwanda	184	Coffee, green	656	Production (tonnes)	5510	21820
Saint Lucia	189	Coffee, green	656	Production (tonnes)	5510	
Saint Vincent and the Grenadines	191	Coffee, green	656	Production (tonnes)	5510	168
Samoa	244	Coffee, green	656	Production (tonnes)	5510	12
Sao Tome and Principe	193	Coffee, green	656	Production (tonnes)	5510	36
Saudi Arabia	194	Coffee, green	656	Production (tonnes)	5510	0
Sierra Leone	197	Coffee, green	656	Production (tonnes)	5510	33478
Spain	203	Coffee, green	656	Production (tonnes)	5510	
Sri Lanka	38	Coffee, green	656	Production (tonnes)	5510	5320
Suriname	207	Coffee, green	656	Production (tonnes)	5510	9
Thailand	216	Coffee, green	656	Production (tonnes)	5510	42394
Timor-Leste	176	Coffee, green	656	Production (tonnes)	5510	8320
Togo	217	Coffee, green	656	Production (tonnes)	5510	12500
Tonga	219	Coffee, green	656	Production (tonnes)	5510	15
Trinidad and Tobago	220	Coffee, green	656	Production (tonnes)	5510	75
Uganda	226	Coffee, green	656	Production (tonnes)	5510	191371
United Republic of Tanzania	215	Coffee, green	656	Production (tonnes)	5510	60575
United States of America	231	Coffee, green	656	Production (tonnes)	5510	3450
Vanuatu	155	Coffee, green	656	Production (tonnes)	5510	11
Venezuela (Bolivarian Republic of)	236	Coffee, green	656	Production (tonnes)	5510	69138
Viet Nam	237	Coffee, green	656	Production (tonnes)	5510	1276506
Yemen	249	Coffee, green	656	Production (tonnes)	5510	19275
Zambia	251	Coffee, green	656	Production (tonnes)	5510	6000
Zimbabwe	181	Coffee, green	656	Production (tonnes)	5510	2797